 allocated memory at: 0x60217cd28000
after memory allocation
after identifying candidate routines
after chaining all branch targets
after setting initial estimated new ins addrs in tc
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4c15d3: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4c15f0: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4c16dd: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4c30a2: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4c315c: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4c321b: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4c32d4: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4c339b: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4c3480: call 0x60217c4aa2e0
jump to orig addr: 0x60217c977e3d : 0x60217c4c4c81: call 0x60217c977e3d
jump to orig addr: 0x60217c977e3d : 0x60217c4c5dd2: call 0x60217c977e3d
jump to orig addr: 0x60217c977e3d : 0x60217c4c6f9e: call 0x60217c977e3d
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4c954f: call 0x60217c4aa6e8
jump to orig addr: 0x60217c8a6d73 : 0x60217c4c9b56: call 0x60217c8a6d73
jump to orig addr: 0x60217c8a6d31 : 0x60217c4ca753: call 0x60217c8a6d31
jump to orig addr: 0x60217c8a6d29 : 0x60217c4cc482: call 0x60217c8a6d29
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4cc55b: call 0x60217c4aa2e0
jump to orig addr: 0x60217c8a6d38 : 0x60217c4cca34: call 0x60217c8a6d38
jump to orig addr: 0x60217c8a6d3c : 0x60217c4ccb1d: call 0x60217c8a6d3c
jump to orig addr: 0x60217c4aa290 : 0x60217c4cd347: call 0x60217c4aa290
jump to orig addr: 0x60217c5f3d49 : 0x60217c4cd41a: call 0x60217c5f3d49
jump to orig addr: 0x60217c8a6d31 : 0x60217c4ce82d: call 0x60217c8a6d31
jump to orig addr: 0x60217c8a6d26 : 0x60217c4cf5f4: call 0x60217c8a6d26
jump to orig addr: 0x60217c8a6d26 : 0x60217c4cf603: call 0x60217c8a6d26
jump to orig addr: 0x60217c992deb : 0x60217c4d01fb: call 0x60217c992deb
jump to orig addr: 0x60217c992deb : 0x60217c4d036f: call 0x60217c992deb
jump to orig addr: 0x60217c8a6d87 : 0x60217c4d0901: call 0x60217c8a6d87
jump to orig addr: 0x60217c8a6d3c : 0x60217c4d0a10: call 0x60217c8a6d3c
jump to orig addr: 0x60217c8a6d31 : 0x60217c4d0abb: call 0x60217c8a6d31
jump to orig addr: 0x60217c8a6d35 : 0x60217c4d195f: call 0x60217c8a6d35
jump to orig addr: 0x60217c4aa3d0 : 0x60217c4d1efc: call 0x60217c4aa3d0
jump to orig addr: 0x60217c4aa360 : 0x60217c4d1f04: call 0x60217c4aa360
jump to orig addr: 0x60217c4aa360 : 0x60217c4d1f72: call 0x60217c4aa360
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4d21f4: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4d2227: call 0x60217c4aa6e8
